Front	Back	Tags
私 (わたし)	I, me	N5 vocabulary N5-M01-L01
あなた (あなた)	you	N5 vocabulary N5-M01-L01
名前 (なまえ)	name	N5 vocabulary N5-M01-L01
学生 (がくせい)	student	N5 vocabulary N5-M01-L01
先生 (せんせい)	teacher	N5 vocabulary N5-M01-L01
会社員 (かいしゃいん)	company employee	N5 vocabulary N5-M01-L01
友達 (ともだち)	friend	N5 vocabulary N5-M01-L01
日本人 (にほんじん)	Japanese person	N5 vocabulary N5-M01-L01
～さん (～さん)	Mr./Ms. (polite suffix)	N5 vocabulary N5-M01-L01
はじめまして (はじめまして)	Nice to meet you (first meeting)	N5 vocabulary N5-M01-L01
零 / ゼロ (れい / ゼロ)	zero	N5 vocabulary N5-M01-L02
一 (いち)	one	N5 vocabulary N5-M01-L02
二 (に)	two	N5 vocabulary N5-M01-L02
三 (さん)	three	N5 vocabulary N5-M01-L02
四 (し / よん)	four	N5 vocabulary N5-M01-L02
五 (ご)	five	N5 vocabulary N5-M01-L02
六 (ろく)	six	N5 vocabulary N5-M01-L02
七 (しち / なな)	seven	N5 vocabulary N5-M01-L02
八 (はち)	eight	N5 vocabulary N5-M01-L02
九 (く / きゅう)	nine	N5 vocabulary N5-M01-L02
十 (じゅう)	ten	N5 vocabulary N5-M01-L02
百 (ひゃく)	one hundred	N5 vocabulary N5-M01-L02
千 (せん)	one thousand	N5 vocabulary N5-M01-L02
万 (まん)	ten thousand	N5 vocabulary N5-M01-L02
～時 (～じ)	o'clock (hours)	N5 vocabulary N5-M01-L02
～分 (～ふん / ～ぷん)	minutes	N5 vocabulary N5-M01-L02
半 (はん)	half (30 minutes)	N5 vocabulary N5-M01-L02
今 (いま)	now	N5 vocabulary N5-M01-L02
午前 (ごぜん)	AM (before noon)	N5 vocabulary N5-M01-L02
午後 (ごご)	PM (after noon)	N5 vocabulary N5-M01-L02
何時 (なんじ)	what time	N5 vocabulary N5-M01-L02
何分 (なんぷん)	what minute	N5 vocabulary N5-M01-L02
これ (これ)	this (thing)	N5 vocabulary N5-M01-L02
それ (それ)	that (thing)	N5 vocabulary N5-M01-L02
あれ (あれ)	that (thing over there)	N5 vocabulary N5-M01-L02
どれ (どれ)	which (thing)	N5 vocabulary N5-M01-L02
この (この)	this ~	N5 vocabulary N5-M01-L02
その (その)	that ~	N5 vocabulary N5-M01-L02
あの (あの)	that ~ over there	N5 vocabulary N5-M01-L02
どの (どの)	which ~	N5 vocabulary N5-M01-L02
ここ (ここ)	here	N5 vocabulary N5-M01-L02
そこ (そこ)	there	N5 vocabulary N5-M01-L02
あそこ (あそこ)	over there	N5 vocabulary N5-M01-L02
どこ (どこ)	where	N5 vocabulary N5-M01-L02
食べる (たべる)	to eat	N5 vocabulary N5-M01-L03
起きる (おきる)	to wake up / to get up	N5 vocabulary N5-M01-L03
寝る (ねる)	to sleep / to go to bed	N5 vocabulary N5-M01-L03
見る (みる)	to see / to watch	N5 vocabulary N5-M01-L03
着る (きる)	to wear (upper body)	N5 vocabulary N5-M01-L03
教える (おしえる)	to teach / to tell	N5 vocabulary N5-M01-L03
出る (でる)	to leave / to exit	N5 vocabulary N5-M01-L03
覚える (おぼえる)	to memorize / to remember	N5 vocabulary N5-M01-L03
飲む (のむ)	to drink	N5 vocabulary N5-M01-L03
書く (かく)	to write	N5 vocabulary N5-M01-L03
読む (よむ)	to read	N5 vocabulary N5-M01-L03
話す (はなす)	to speak / to talk	N5 vocabulary N5-M01-L03
聞く (きく)	to listen / to hear / to ask	N5 vocabulary N5-M01-L03
行く (いく)	to go	N5 vocabulary N5-M01-L03
来る (くる)	to come (irregular — Group 3)	N5 vocabulary N5-M01-L03
帰る (かえる)	to return / to go home	N5 vocabulary N5-M01-L03
買う (かう)	to buy	N5 vocabulary N5-M01-L03
待つ (まつ)	to wait	N5 vocabulary N5-M01-L03
乗る (のる)	to ride / to board	N5 vocabulary N5-M01-L03
分かる (わかる)	to understand	N5 vocabulary N5-M01-L03
する (する)	to do	N5 vocabulary N5-M01-L03
来る (くる)	to come	N5 vocabulary N5-M01-L03
勉強する (べんきょうする)	to study	N5 vocabulary N5-M01-L03
仕事する (しごとする)	to work	N5 vocabulary N5-M01-L03
毎日 (まいにち)	every day	N5 vocabulary N5-M01-L03
毎朝 (まいあさ)	every morning	N5 vocabulary N5-M01-L03
毎晩 (まいばん)	every evening/night	N5 vocabulary N5-M01-L03
いつも (いつも)	always	N5 vocabulary N5-M01-L03
よく (よく)	often	N5 vocabulary N5-M01-L03
時々 (ときどき)	sometimes	N5 vocabulary N5-M01-L03
たまに (たまに)	occasionally	N5 vocabulary N5-M01-L03
あまり (あまり)	not very much (+ negative)	N5 vocabulary N5-M01-L03
全然 (ぜんぜん)	not at all (+ negative)	N5 vocabulary N5-M01-L03
誰 (だれ)	who	N5 vocabulary N5-M01-L04
何 (なに／なん)	what	N5 vocabulary N5-M01-L04
どこ (どこ)	where	N5 vocabulary N5-M01-L04
いつ (いつ)	when	N5 vocabulary N5-M01-L04
好き (すき)	like (な-adj)	N5 vocabulary N5-M01-L04
嫌い (きらい)	dislike (な-adj)	N5 vocabulary N5-M01-L04
上手 (じょうず)	good at (な-adj)	N5 vocabulary N5-M01-L04
下手 (へた)	bad at (な-adj)	N5 vocabulary N5-M01-L04
得意 (とくい)	strong point / good at	N5 vocabulary N5-M01-L04
苦手 (にがて)	weak point / not good at	N5 vocabulary N5-M01-L04
猫 (ねこ)	cat	N5 vocabulary N5-M01-L04
犬 (いぬ)	dog	N5 vocabulary N5-M01-L04
花 (はな)	flower	N5 vocabulary N5-M01-L04
空 (そら)	sky	N5 vocabulary N5-M01-L04
雨 (あめ)	rain	N5 vocabulary N5-M01-L04
大きい (おおきい)	big	N5 vocabulary N5-M01-L05
小さい (ちいさい)	small	N5 vocabulary N5-M01-L05
高い (たかい)	tall / expensive	N5 vocabulary N5-M01-L05
安い (やすい)	cheap	N5 vocabulary N5-M01-L05
低い (ひくい)	low / short (height)	N5 vocabulary N5-M01-L05
長い (ながい)	long	N5 vocabulary N5-M01-L05
短い (みじかい)	short (length)	N5 vocabulary N5-M01-L05
速い (はやい)	fast	N5 vocabulary N5-M01-L05
遅い (おそい)	slow / late	N5 vocabulary N5-M01-L05
暑い (あつい)	hot (weather)	N5 vocabulary N5-M01-L05
寒い (さむい)	cold (weather)	N5 vocabulary N5-M01-L05
熱い (あつい)	hot (to touch)	N5 vocabulary N5-M01-L05
冷たい (つめたい)	cold (to touch)	N5 vocabulary N5-M01-L05
新しい (あたらしい)	new	N5 vocabulary N5-M01-L05
古い (ふるい)	old (objects)	N5 vocabulary N5-M01-L05
良い／いい (よい／いい)	good	N5 vocabulary N5-M01-L05
悪い (わるい)	bad	N5 vocabulary N5-M01-L05
難しい (むずかしい)	difficult	N5 vocabulary N5-M01-L05
